image,name,classification,mei
,C clef,clef.c,"<clef shape=""C""/>"
,F Clef shaped like custos,clef.f,"<clef shape=""F""/>"
,F Clef shaped like F,clef.f2,"<clef shape=""F""/>"
,G clef,clef.g,"<clef shape=""G""/>"
,Custos,custos,<custos/>
,Divisio,divisio.maxima,"<divLine form=""maxima""/>"
,Flat,accidental.flat,"<accid accid=""f""/>"
,Natural,accidental.natural,"<accid accid=""n""/>"
,Punctum,neume.punctum,"<neume>
    <nc/>
</neume>"
,Inclinatum,neume.inclinatum,"<neume>
   <nc tilt=""se""/> 
</neume>"
,Virga,neume.virga,"<neume>
    <nc tilt=""s""/>
</neume>"
,Upside down virga,neume.udv,"<neume>
    <nc tilt=""n""/>
</neume>"
,Upwards liquescent,neume.liquescent.up,"<neume>
    <nc curve=""a"">
        <liquescent/>
    </nc>
</neume>"
,Downwards liquescent,neume.liquescent.down,"<neume>
    <nc curve=""c"">
        <liquescent/>
    </nc>
</neume>"
,Virgescent,neume.liquescent.down,"<neume>
    <nc curve=""c"">
        <liquescent/>
    </nc>
</neume>"
,Distropha,neume.distropha,"<neume>
    <nc/>
    <nc/>
</neume>"
,Podatus 2,neume.podatus2,"<neume>
    <nc/>
    <nc  tilt=""s""  intm=""U""/>
</neume>"
,Podatus 3,neume.podatus3,"<neume>
    <nc/>
    <nc  tilt=""s""  intm=""2S""/>
</neume>"
,Podatus 4,neume.podatus4,"<neume>
    <nc/>
    <nc  tilt=""s""  intm=""3S""/>
</neume>"
,Podatus 5,neume.podatus5,"<neume>
    <nc/>
    <nc  tilt=""s""  intm=""4S""/>
</neume>"
,Clivis 2a,neume.clivis2a,"<neume>
    <nc tilt=""s""/>
    <nc  tilt=""n"" con=""e"" intm=""-1S""/>
</neume>"
,Clivis 3a,neume.clivis3a,"<neume>
    <nc tilt=""s""/>
    <nc  tilt=""n"" con=""e"" intm=""-2S""/>
</neume>"
,Clivis 4a,neume.clivis4a,"<neume>
    <nc tilt=""s""/>
    <nc  tilt=""n"" con=""e"" intm=""-3S""/>
</neume>"
,Clivis 5a,neume.clivis5a,"<neume>
    <nc tilt=""s""/>
    <nc  tilt=""n"" con=""e"" intm=""-4S""/>
</neume>"
,Clivis 2b,neume.clivis2b,"<neume>
    <nc/>
    <nc  tilt=""n"" intm=""-1S""/>
</neume>"
,Clivis 3b,neume.clivis3b,"<neume>
    <nc/>
    <nc  tilt=""n"" intm=""-2S""/>
</neume>"
,Clivis 4b,neume.clivis4b,"<neume>
    <nc/>
    <nc  tilt=""n"" intm=""-3S""/>
</neume>"
,Clivis 5b,neume.clivis5b,"<neume>
    <nc/>
    <nc  tilt=""n"" intm=""-4S""/>
</neume>"
,Torculus22,neume.torculus22,"<neume>
    <nc/>
    <nc tilt=""s"" intm=""1S""/>
    <nc tilt=""n con=""e"" intm=""-1S""/>
</neume>"
,Torculus23,neume.torculus23,"<neume>
    <nc/>
    <nc tilt=""s"" intm=""1S""/>
    <nc tilt=""n con=""e"" intm=""-2S""/>
</neume>"
,Torculus24,neume.torculus24,"<neume>
    <nc/>
    <nc tilt=""s"" intm=""1S""/>
    <nc tilt=""n con=""e"" intm=""-3S""/>
</neume>"
,Torculus32,neume.torculus32,"<neume>
    <nc/>
    <nc tilt=""s"" intm=""2S""/>
    <nc tilt=""n con=""e"" intm=""-1S""/>
</neume>"
,Torculus33,neume.torculus33,"<neume>
    <nc/>
    <nc tilt=""s"" intm=""2S""/>
    <nc tilt=""n con=""e"" intm=""-2S""/>
</neume>"
,Torculus34,neume.torculus34,"<neume>
    <nc/>
    <nc tilt=""s"" intm=""2S""/>
    <nc tilt=""n con=""e"" intm=""-3S""/>
</neume>"
,Torculus42,neume.torculus42,"<neume>
    <nc/>
    <nc tilt=""s"" intm=""3S""/>
    <nc tilt=""n con=""e"" intm=""-1S""/>
</neume>"
,Torculus43,neume.torculus43,"<neume>
    <nc/>
    <nc tilt=""s"" intm=""3S""/>
    <nc tilt=""n con=""e"" intm=""-2S""/>
</neume>"
